# iota(4,10) >= 28 ?  the deg(0) = 12 floor cube, split by degree sequence.
#
# Ground set 10, TARGET 28 -- not 32. The target is deliberately in this
# filename: tools/rung.sh derives its checkpoint name from (b, ground)
# alone and its skip test matches the deg column, so a run at one target
# would silently skip cubes recorded at another. See roadmap 46.
#
# Coarse pass, iota_sym 4 10 28 --seconds 3600, 4 threads:
#   deg(0) = 17..28  UNSAT, none over 90 s
#   deg(0) = 16      UNSAT   153.9 s
#   deg(0) = 15      UNSAT   302.7 s
#   deg(0) = 14      UNSAT  1418.4 s
#   deg(0) = 13      UNSAT  1775.4 s
#   deg(0) = 12      UNKNOWN at 3600 s  -> re-run below
#
# The floor cube. Degree sum is 4*28 = 112 over ten points, mean 11.2, so
# the maximum degree cannot be below 12; deg(0) = 12 is the floor and the
# family must be near-regular, with only 8 of slack over ten points.
#
# iota_sym 4 10 28 --only-deg 12 --seconds 36000 --slice 300 --cubecap 400
#   1 of 1 cubes refined -> 144 degree-sequence cubes
#   UNSAT after 37879.5 s, 0 at the limit
#
# Every sequence below was checked: 144 distinct, each 10 entries summing
# to 112 with maximum 12 at position 0. Sorted within blocks, not
# globally -- that is the sorted_blocks symmetry, so the entries are not
# monotone.
#
# VERDICT  iota(4,10) <= 27, and iota(4,9) = 27 embeds, so iota(4,10) = 27.
#
# sequence	verdict	seconds
[12,12,11,10,12,12,12,12,10,9]	UNSAT	3599.2
[12,12,11,10,12,11,11,11,11,11]	UNSAT	463.2
[12,12,11,10,12,12,12,11,10,10]	UNSAT	2113.8
[12,12,11,9,12,12,12,12,12,8]	UNSAT	382.4
[12,12,11,10,12,12,12,11,11,9]	UNSAT	3024.7
[12,12,11,9,12,12,12,12,10,10]	UNSAT	687.3
[12,12,11,9,12,12,11,11,11,11]	UNSAT	643.7
[12,12,11,8,12,12,12,12,12,9]	UNSAT	441.8
[12,12,11,9,12,12,12,12,11,9]	UNSAT	2039.6
[12,12,11,10,12,12,11,11,11,10]	UNSAT	3649.4
[12,12,11,9,12,12,12,11,11,10]	UNSAT	2996.6
[12,12,11,8,12,12,12,11,11,11]	UNSAT	1110.5
[12,12,11,7,12,12,12,12,12,10]	UNSAT	411.1
[12,12,11,5,12,12,12,12,12,12]	UNSAT	105.3
[12,12,10,10,12,12,12,12,12,8]	UNSAT	203.4
[12,12,11,6,12,12,12,12,12,11]	UNSAT	406.6
[12,12,10,10,12,12,12,12,10,10]	UNSAT	538.1
[12,12,10,10,12,12,12,12,11,9]	UNSAT	780.0
[12,12,11,7,12,12,12,12,11,11]	UNSAT	1608.0
[12,12,10,10,12,12,11,11,11,11]	UNSAT	569.9
[12,12,11,8,12,12,12,12,11,10]	UNSAT	3055.5
[12,12,10,10,12,12,12,11,11,10]	UNSAT	1136.1
[12,12,10,9,12,12,12,12,12,9]	UNSAT	652.4
[12,12,10,8,12,12,12,12,12,10]	UNSAT	430.7
[12,12,10,9,12,12,12,11,11,11]	UNSAT	1029.0
[12,12,10,6,12,12,12,12,12,12]	UNSAT	186.1
[12,12,10,7,12,12,12,12,12,11]	UNSAT	492.4
[12,12,10,8,12,12,12,12,11,11]	UNSAT	821.6
[12,12,9,9,12,12,12,12,12,10]	UNSAT	377.3
[12,12,9,8,12,12,12,12,12,11]	UNSAT	433.3
[12,12,8,8,12,12,12,12,12,12]	UNSAT	63.2
[12,12,9,7,12,12,12,12,12,12]	UNSAT	196.6
[12,12,10,9,12,12,12,12,11,10]	UNSAT	1873.8
[12,12,9,9,12,12,12,12,11,11]	UNSAT	575.2
[12,11,11,11,12,12,12,12,12,7]	UNSAT	232.1
[12,11,11,11,12,12,12,12,11,8]	UNSAT	506.6
[12,11,11,11,12,12,12,12,10,9]	UNSAT	521.0
[12,11,11,11,12,11,11,11,11,11]	UNSAT	144.4
[12,11,11,11,12,12,12,11,11,9]	UNSAT	719.7
[12,11,11,10,12,12,12,12,12,8]	UNSAT	184.1
[12,11,11,11,12,12,11,11,11,10]	UNSAT	530.9
[12,11,11,10,12,12,12,12,10,10]	UNSAT	496.1
[12,11,11,10,12,12,12,12,11,9]	UNSAT	701.3
[12,11,11,9,12,12,12,12,12,9]	UNSAT	180.9
[12,11,11,11,12,12,12,11,10,10]	UNSAT	1398.6
[12,11,11,10,12,12,11,11,11,11]	UNSAT	574.0
[12,11,11,8,12,12,12,12,12,10]	UNSAT	194.5
[12,11,11,9,12,12,12,12,11,10]	UNSAT	574.5
[12,11,11,10,12,12,12,11,11,10]	UNSAT	1398.6
[12,11,11,7,12,12,12,12,12,11]	UNSAT	244.8
[12,11,11,6,12,12,12,12,12,12]	UNSAT	59.6
[12,11,10,10,12,12,12,12,12,9]	UNSAT	253.1
[12,11,11,8,12,12,12,12,11,11]	UNSAT	598.0
[12,11,11,9,12,12,12,11,11,11]	UNSAT	1295.2
[12,11,10,10,12,12,12,12,11,10]	UNSAT	662.8
[12,11,10,9,12,12,12,12,12,10]	UNSAT	449.2
[12,11,10,7,12,12,12,12,12,12]	UNSAT	95.7
[12,11,10,10,12,12,12,11,11,11]	UNSAT	706.3
[12,11,9,9,12,12,12,12,12,11]	UNSAT	196.9
[12,11,9,8,12,12,12,12,12,12]	UNSAT	100.8
[12,10,10,10,12,12,12,12,12,10]	UNSAT	121.8
[12,11,10,8,12,12,12,12,12,11]	UNSAT	478.4
[12,10,10,10,12,12,12,12,11,11]	UNSAT	181.7
[12,10,10,8,12,12,12,12,12,12]	UNSAT	78.5
[12,10,9,9,12,12,12,12,12,12]	UNSAT	57.5
[12,10,10,9,12,12,12,12,12,11]	UNSAT	187.7
[12,11,10,9,12,12,12,12,11,11]	UNSAT	1096.7
