# The eleven-point cube of r*(3,3): a 3-uniform family on 11 points with 28
# members, no three pairwise disjoint, point degree <= 9, pair degree <= 3?
# Deficiencies 9 - d_v sum to 99 - 84 = 15; every point used has degree >= 1
# (degree 0 is the ten-point case, closed in rstar_3_3_10.tsv); sorted, a cube
# is a partition of 15 into at most 11 parts of size at most 8: 139 cubes,
# listed most-concentrated first in rstar_3_3_11.cubes.txt.  Solver: OR-Tools
# CP-SAT via tools/cuben.py (one worker), full lex-leader prefix K = 62 per
# equal-degree transposition, cut B = 16 (kernel-proved).  Driver:
# tools/sweep11.sh <cap> <jobs>, checkpointed: closed cubes are skipped on
# re-runs, UNKNOWN rows are the cap they ran to and are re-attempted.
# Pilot (docs/roadmap.md section 56.10): 8,7 in 0.6 s; 5,4,4,2 in 392 s;
# 3,3,3,3,3 and 2,2,2,2,1,1,1,1,1,1,1 UNKNOWN at 1800 s.
# cube	degrees	K	B	verdict	seconds	witness
6,3,1,1,1,1,1,1	3,6,8,8,8,8,8,8,9,9,9	62	16	INFEASIBLE	458.0	
6,2,2,2,2,1	3,7,7,7,7,8,9,9,9,9,9	62	16	INFEASIBLE	330.2	
6,3,2,2,1,1	3,6,7,7,8,8,9,9,9,9,9	62	16	INFEASIBLE	1032.0	
6,3,2,1,1,1,1	3,6,7,8,8,8,8,9,9,9,9	62	16	INFEASIBLE	1229.5	
6,1,1,1,1,1,1,1,1,1	3,8,8,8,8,8,8,8,8,8,9	62	16	INFEASIBLE	28.8	
6,2,1,1,1,1,1,1,1	3,7,8,8,8,8,8,8,8,9,9	62	16	INFEASIBLE	260.6	
5,5,5	4,4,4,9,9,9,9,9,9,9,9	62	16	INFEASIBLE	90.1	
6,2,2,2,1,1,1	3,7,7,7,8,8,8,9,9,9,9	62	16	INFEASIBLE	872.9	
6,2,2,1,1,1,1,1	3,7,7,8,8,8,8,8,9,9,9	62	16	INFEASIBLE	938.2	
5,5,4,1	4,4,5,8,9,9,9,9,9,9,9	62	16	INFEASIBLE	325.3	
5,5,3,2	4,4,6,7,9,9,9,9,9,9,9	62	16	INFEASIBLE	556.1	
5,5,3,1,1	4,4,6,8,8,9,9,9,9,9,9	62	16	INFEASIBLE	978.6	
5,5,2,2,1	4,4,7,7,8,9,9,9,9,9,9	62	16	INFEASIBLE	890.9	
5,4,4,2	4,5,5,7,9,9,9,9,9,9,9	62	16	INFEASIBLE	441.5	
5,5,1,1,1,1,1	4,4,8,8,8,8,8,9,9,9,9	62	16	INFEASIBLE	1137.2	
5,4,4,1,1	4,5,5,8,8,9,9,9,9,9,9	62	16	INFEASIBLE	603.7	
5,5,2,1,1,1	4,4,7,8,8,8,9,9,9,9,9	62	16	INFEASIBLE	1625.9	
5,4,3,3	4,5,6,6,9,9,9,9,9,9,9	62	16	INFEASIBLE	773.6	
5,4,2,2,2	4,5,7,7,7,9,9,9,9,9,9	62	16	INFEASIBLE	1052.7	
5,4,3,2,1	4,5,6,7,8,9,9,9,9,9,9	62	16	UNKNOWN	1800.0	
5,4,3,1,1,1	4,5,6,8,8,8,9,9,9,9,9	62	16	UNKNOWN	1800.0	
5,4,2,2,1,1	4,5,7,7,8,8,9,9,9,9,9	62	16	UNKNOWN	1800.1	
5,3,3,3,1	4,6,6,6,8,9,9,9,9,9,9	62	16	INFEASIBLE	1086.7	
5,4,2,1,1,1,1	4,5,7,8,8,8,8,9,9,9,9	62	16	UNKNOWN	1800.0	
5,4,1,1,1,1,1,1	4,5,8,8,8,8,8,8,9,9,9	62	16	UNKNOWN	1800.0	
5,3,3,2,2	4,6,6,7,7,9,9,9,9,9,9	62	16	UNKNOWN	1800.0	
5,3,3,2,1,1	4,6,6,7,8,8,9,9,9,9,9	62	16	UNKNOWN	1800.0	
5,3,3,1,1,1,1	4,6,6,8,8,8,8,9,9,9,9	62	16	UNKNOWN	1800.0	
5,3,2,2,2,1	4,6,7,7,7,8,9,9,9,9,9	62	16	UNKNOWN	1800.0	
5,3,1,1,1,1,1,1,1	4,6,8,8,8,8,8,8,8,9,9	62	16	INFEASIBLE	831.9	
5,3,2,2,1,1,1	4,6,7,7,8,8,8,9,9,9,9	62	16	UNKNOWN	1800.1	
5,2,2,2,2,2	4,7,7,7,7,7,9,9,9,9,9	62	16	INFEASIBLE	770.4	
5,3,2,1,1,1,1,1	4,6,7,8,8,8,8,8,9,9,9	62	16	UNKNOWN	1800.0	
5,2,1,1,1,1,1,1,1,1	4,7,8,8,8,8,8,8,8,8,9	62	16	INFEASIBLE	337.4	
5,1,1,1,1,1,1,1,1,1,1	4,8,8,8,8,8,8,8,8,8,8	62	16	INFEASIBLE	28.5	
5,2,2,2,2,1,1	4,7,7,7,7,8,8,9,9,9,9	62	16	UNKNOWN	1800.0	
5,2,2,2,1,1,1,1	4,7,7,7,8,8,8,8,9,9,9	62	16	UNKNOWN	1800.0	
4,4,4,3	5,5,5,6,9,9,9,9,9,9,9	62	16	INFEASIBLE	879.7	
5,2,2,1,1,1,1,1,1	4,7,7,8,8,8,8,8,8,9,9	62	16	INFEASIBLE	1639.1	
4,4,4,2,1	5,5,5,7,8,9,9,9,9,9,9	62	16	UNKNOWN	1800.0	
4,4,4,1,1,1	5,5,5,8,8,8,9,9,9,9,9	62	16	UNKNOWN	1800.0	
4,4,3,3,1	5,5,6,6,8,9,9,9,9,9,9	62	16	UNKNOWN	1800.3	
4,4,3,2,2	5,5,6,7,7,9,9,9,9,9,9	62	16	UNKNOWN	1800.0	
4,4,3,2,1,1	5,5,6,7,8,8,9,9,9,9,9	62	16	UNKNOWN	1800.0	
4,4,3,1,1,1,1	5,5,6,8,8,8,8,9,9,9,9	62	16	UNKNOWN	1800.0	
4,4,2,2,2,1	5,5,7,7,7,8,9,9,9,9,9	62	16	UNKNOWN	1800.2	
4,4,2,2,1,1,1	5,5,7,7,8,8,8,9,9,9,9	62	16	UNKNOWN	1800.0	
4,4,1,1,1,1,1,1,1	5,5,8,8,8,8,8,8,8,9,9	62	16	INFEASIBLE	1483.9	
4,4,2,1,1,1,1,1	5,5,7,8,8,8,8,8,9,9,9	62	16	UNKNOWN	1800.0	
4,3,3,3,2	5,6,6,6,7,9,9,9,9,9,9	62	16	UNKNOWN	1800.0	
4,3,3,3,1,1	5,6,6,6,8,8,9,9,9,9,9	62	16	UNKNOWN	1800.0	
